date,Branch,Value
2015-09-01,FR1,85
2015-10-01,FR1,858
2015-10-01,IT2,301
2015-10-01,SP3,37
2015-11-01,FR1,1444
2015-11-01,GE4,42
2015-11-01,HK5,218
2015-11-01,IT2,219
2015-11-01,SP3,77
2015-12-01,FR1,855
2015-12-01,GE4,127
2015-12-01,HK5,800
2015-12-01,IT2,395
2015-12-01,SP3,119
2016-01-01,FR1,255
2016-01-01,GE4,387
2016-01-01,HK5,3042
2016-01-01,IT2,337
2016-01-01,SP3,91
2016-02-01,FR1,231
2016-02-01,GE4,412
2016-02-01,HK5,3374
2016-02-01,IT2,348
2016-02-01,SP3,120
2016-03-01,FR1,201
2016-03-01,GE4,3304
2016-03-01,HK5,1281
2016-03-01,IT2,348
2016-03-01,SP3,114
2016-04-01,FR1,253
2016-04-01,GE4,3737
2016-04-01,HK5,4706
2016-04-01,IT2,453
2016-04-01,SP3,113
2016-05-01,FR1,624
2016-05-01,GE4,5314
2016-05-01,HK5,10514
2016-05-01,IT2,627
2016-05-01,SP3,113
2016-06-01,FR1,1497
2016-06-01,GE4,4701
2016-06-01,HK5,8341
2016-06-01,IT2,539
2016-06-01,SP3,115
2016-07-01,FR1,527
2016-07-01,GE4,4801
2016-07-01,HK5,8726
2016-07-01,IT2,785
2016-07-01,SP3,114
2016-08-01,FR1,205
2016-08-01,GE4,4196
2016-08-01,HK5,8727
2016-08-01,IT2,303
2016-08-01,SP3,48
2016-11-01,FR1,832
2016-11-01,GE4,2790
2016-11-01,HK5,174
2016-11-01,IT2,299
2016-12-01,FR1,1123
2016-12-01,GE4,5043
2016-12-01,HK5,4924
2016-12-01,IT2,496
2016-12-01,SP3,30
2017-01-01,FR1,633
2017-01-01,GE4,6153
2017-01-01,HK5,6892
2017-01-01,IT2,449
2017-01-01,SP3,102
2017-02-01,FR1,527
2017-02-01,GE4,5040
2017-02-01,HK5,11635
2017-02-01,IT2,517
2017-02-01,SP3,101
2017-03-01,FR1,249
2017-03-01,GE4,1080
2017-03-01,HK5,1416
2017-03-01,IT2,122
2017-03-01,SP3,6
2017-04-01,FR1,602
2017-04-01,GE4,4817
2017-04-01,HK5,9791
2017-04-01,IT2,456
2017-04-01,SP3,61
2017-05-01,FR1,475
2017-05-01,GE4,4833
2017-05-01,HK5,15019
2017-05-01,IT2,517
2017-05-01,SP3,113
2017-06-01,FR1,956
2017-06-01,GE4,4137
2017-06-01,HK5,13968
2017-06-01,IT2,521
2017-06-01,SP3,109
2017-07-01,FR1,420
2017-07-01,GE4,5215
2017-07-01,HK5,12075
2017-07-01,IT2,517
2017-07-01,SP3,97
2017-08-01,FR1,396
2017-08-01,GE4,4526
2017-08-01,HK5,9896
2017-08-01,IT2,333
2017-08-01,SP3,113
2017-09-01,FR1,371
2017-09-01,GE4,3944
2017-09-01,HK5,11070
2017-09-01,IT2,373
2017-09-01,SP3,94
2017-10-01,FR1,2371
2017-10-01,GE4,4748
2017-10-01,HK5,12356
2017-10-01,IT2,616
2017-10-01,SP3,141
2017-11-01,FR1,1991
2017-11-01,GE4,4343
2017-11-01,HK5,12653
2017-11-01,IT2,627
2017-11-01,SP3,161
2017-12-01,FR1,360
2017-12-01,GE4,4031
2017-12-01,HK5,11763
2017-12-01,IT2,662
2017-12-01,SP3,121
2018-01-01,FR1,581
2018-01-01,GE4,5542
2018-01-01,HK5,14939
2018-01-01,IT2,643
2018-01-01,SP3,187
2018-02-01,FR1,467
2018-02-01,GE4,4474
2018-02-01,HK5,10395
2018-02-01,IT2,606
2018-02-01,SP3,171
2018-03-01,FR1,559
2018-03-01,GE4,6772
2018-03-01,HK5,14193
2018-03-01,IT2,735
2018-03-01,SP3,100
2018-04-01,FR1,808
2018-04-01,GE4,4830
2018-04-01,HK5,13233
2018-04-01,IT2,660
2018-04-01,SP3,119
2018-05-01,FR1,572
2018-05-01,GE4,4536
2018-05-01,HK5,14428
2018-05-01,IT2,722
2018-05-01,SP3,99
2018-06-01,FR1,562
2018-06-01,GE4,4173
2018-06-01,HK5,13599
2018-06-01,IT2,711
2018-06-01,SP3,171
2018-07-01,FR1,333
2018-07-01,GE4,5408
2018-07-01,HK5,16680
2018-07-01,IT2,629
2018-07-01,SP3,187
2018-08-01,FR1,370
2018-08-01,GE4,4439
2018-08-01,HK5,14965
2018-08-01,IT2,856
2018-08-01,SP3,149
2018-09-01,FR1,1643
2018-09-01,GE4,3985
2018-09-01,HK5,13164
2018-09-01,IT2,522
2018-09-01,SP3,160
2018-10-01,FR1,2423
2018-10-01,GE4,5626
2018-10-01,HK5,16496
2018-10-01,IT2,819
2018-10-01,SP3,170
2018-11-01,FR1,784
2018-11-01,GE4,6110
2018-11-01,HK5,14519
2018-11-01,IT2,628
2018-11-01,SP3,157
2018-12-01,FR1,486
2018-12-01,GE4,5212
2018-12-01,HK5,14573
2018-12-01,IT2,622
2018-12-01,SP3,119
2019-01-01,FR1,549
2019-01-01,GE4,5007
2019-01-01,HK5,16561
2019-01-01,IT2,674
2019-01-01,SP3,215
2019-02-01,FR1,684
2019-02-01,GE4,4720
2019-02-01,HK5,12877
2019-02-01,IT2,645
2019-02-01,SP3,201
2019-03-01,FR1,797
2019-03-01,GE4,6931
2019-03-01,HK5,16989
2019-03-01,IT2,718
2019-03-01,SP3,233
2019-04-01,FR1,984
2019-04-01,GE4,6605
2019-04-01,HK5,15459
2019-04-01,SP3,208
2019-05-01,FR1,1980
2019-05-01,GE4,6337
2019-05-01,HK5,15790
2019-05-01,SP3,189
2019-06-01,FR1,315
