date,Status,Branch,Value
2015-11-01,C,GE4,27
2015-11-01,UE,GE4,15
2015-12-01,C,GE4,124
2015-12-01,UE,GE4,3
2016-01-01,C,GE4,360
2016-01-01,UE,GE4,27
2016-02-01,C,GE4,408
2016-02-01,UE,GE4,4
2016-03-01,C,GE4,3293
2016-03-01,UE,GE4,11
2016-04-01,C,GE4,3684
2016-04-01,UE,GE4,53
2016-05-01,C,GE4,5290
2016-05-01,UE,GE4,24
2016-06-01,C,GE4,3369
2016-06-01,EE,GE4,921
2016-06-01,UE,GE4,411
2016-07-01,C,GE4,3484
2016-07-01,EE,GE4,1029
2016-07-01,UE,GE4,288
2016-08-01,C,GE4,2893
2016-08-01,EE,GE4,965
2016-08-01,UE,GE4,338
2016-11-01,C,GE4,1975
2016-11-01,EE,GE4,727
2016-11-01,UE,GE4,88
2016-12-01,C,GE4,3627
2016-12-01,EE,GE4,1276
2016-12-01,UE,GE4,140
2017-01-01,C,GE4,4197
2017-01-01,EE,GE4,1583
2017-01-01,UE,GE4,373
2017-02-01,C,GE4,3264
2017-02-01,EE,GE4,1460
2017-02-01,UE,GE4,316
2017-03-01,C,GE4,880
2017-03-01,EE,GE4,181
2017-03-01,UE,GE4,19
2017-04-01,C,GE4,3221
2017-04-01,EE,GE4,1411
2017-04-01,UE,GE4,185
2017-05-01,C,GE4,3767
2017-05-01,EE,GE4,985
2017-05-01,UE,GE4,81
2017-06-01,C,GE4,3541
2017-06-01,EE,GE4,547
2017-06-01,UE,GE4,49
2017-07-01,C,GE4,3936
2017-07-01,EE,GE4,1241
2017-07-01,UE,GE4,38
2017-08-01,C,GE4,3634
2017-08-01,EE,GE4,758
2017-08-01,UE,GE4,134
2017-09-01,C,GE4,3370
2017-09-01,EE,GE4,454
2017-09-01,UE,GE4,120
2017-10-01,C,GE4,3924
2017-10-01,EE,GE4,660
2017-10-01,UE,GE4,164
2017-11-01,C,GE4,3858
2017-11-01,EE,GE4,417
2017-11-01,UE,GE4,68
2017-12-01,C,GE4,3460
2017-12-01,EE,GE4,412
2017-12-01,UE,GE4,159
2018-01-01,C,GE4,4667
2018-01-01,EE,GE4,631
2018-01-01,UE,GE4,244
2018-02-01,C,GE4,3809
2018-02-01,EE,GE4,528
2018-02-01,UE,GE4,137
2018-03-01,C,GE4,6040
2018-03-01,EE,GE4,542
2018-03-01,UE,GE4,190
2018-04-01,C,GE4,4109
2018-04-01,EE,GE4,536
2018-04-01,UE,GE4,185
2018-05-01,C,GE4,3847
2018-05-01,EE,GE4,467
2018-05-01,UE,GE4,222
2018-06-01,C,GE4,3042
2018-06-01,EE,GE4,484
2018-06-01,UE,GE4,647
2018-07-01,C,GE4,4682
2018-07-01,EE,GE4,424
2018-07-01,UE,GE4,302
2018-08-01,C,GE4,3936
2018-08-01,EE,GE4,319
2018-08-01,UE,GE4,184
2018-09-01,C,GE4,3422
2018-09-01,EE,GE4,430
2018-09-01,UE,GE4,133
2018-10-01,C,GE4,4801
2018-10-01,EE,GE4,498
2018-10-01,UE,GE4,327
2018-11-01,C,GE4,5293
2018-11-01,EE,GE4,410
2018-11-01,UE,GE4,407
2018-12-01,C,GE4,4712
2018-12-01,EE,GE4,236
2018-12-01,UE,GE4,264
2019-01-01,C,GE4,4377
2019-01-01,EE,GE4,357
2019-01-01,UE,GE4,273
2019-02-01,C,GE4,4101
2019-02-01,EE,GE4,374
2019-02-01,UE,GE4,245
2019-03-01,C,GE4,6087
2019-03-01,EE,GE4,458
2019-03-01,UE,GE4,386
2019-04-01,C,GE4,5555
2019-04-01,EE,GE4,581
2019-04-01,UE,GE4,469
2019-05-01,C,GE4,5445
2019-05-01,EE,GE4,525
2019-05-01,UE,GE4,367
